db,expert,id,author,title,genre ,nombre d'actes,Prologue,Prose/vers,"Musique, danse, machines",Date de création,Created,Updated
1,,5468,Poisson (Philippe),Amour secret,comédie,1,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5468,Poisson (Philippe),Amour secret (L'),comédie,1,FALSE,vers,FALSE,5 OCT 1740,,
,1,5050,Destouches,Amour usé (L'),comédie,5,FALSE,prose,FALSE,,,
,1,5543,La Font (Joseph de),Amour vengé (L'),comédie,1,FALSE,vers,FALSE,14 OCT 1712,,
,1,5516,Gilbert (Gabriel),Amours de Diane et d'Endymion (Les) ou Endymion ,tragédie,5,TRUE,vers,TRUE,22 JUIL 1681,,
,1,5754,Donneau de Vizé (Jean),Amours de Vénus et d'Adonis (Les),tragédie,5,TRUE,vers,TRUE,,,
,1,4857,Molière (Jean-Baptiste Poquelin dit) ,Amphitryon,comédie,3,TRUE,vers libres,TRUE,,,
,1,5755,Fuzelier (Louis),Amusements de l'automne ou les Temples d'Éphèse et de Gnide (Les),comédie,4,TRUE,prose,TRUE,17 OCT 1725,,
,1,5051,Baron,Andrienne (L'),comédie,5,FALSE,vers,FALSE,,,
,1,4858,Racine (Jean),Andromaque,tragédie,5,FALSE,vers,FALSE,,,
1,,5469,Corneille (Pierre),Andromède,tragédie,5,TRUE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5469,Corneille (Pierre),Andromède ,tragédie,5,TRUE,vers,TRUE,,,
,1,4859,Campistron (Jean Galbert de) ,Andronic,tragédie,5,FALSE,vers,FALSE,8 FEV 1685,,
,1,5470,Dancourt (Florent Carton dit),Angélique et Médor,comédie,1,FALSE,prose,TRUE,1 AOUT 1685,,
1,,5470,Dancourt (Florent Carton dit),Angélique et Médor,comédie,1,FALSE,prose,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5052,Favart (Charles-Simon),Anglais à Bordeaux (L'),comédie,1,FALSE,vers libres,FALSE,,,
,1,5053,Saurin (Bernard-Joseph),Anglomanie ou l'Orpheline léguée (L') ou L'Anglomane ou l'Orpheline léguée,comédie,1,FALSE,vers libres,FALSE,,,
,1,4860,Marivaux (Pierre de),Annibal,tragédie,5,FALSE,vers,FALSE,16 DEC 1720,,
1,,5471,Riupeirous (Théodore),Annibal,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5471,Riupeirous (Théodore),Annibal ,tragédie,5,FALSE,vers,FALSE,5 NOV 1688,,
,1,5472,"Boyer (Claude, abbé) pseud : Pader d'Assézan",Antigone,tragédie,5,FALSE,vers,FALSE,14 MARS 1686,,
1,,5472,"Boyer (Claude, abbé) pseud : Pader d'Assézan",Antigone,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,4861,Doigny du Ponceau,Antigone ou la Piété fraternelle,tragédie,5,FALSE,vers,FALSE,31 JUIL 1787,,
,1,5473,Deschamps (François-Michel-Chrétien),Antiochus et Cléopâtre,tragédie,5,FALSE,vers,FALSE,29 OCT 1717,,
1,,5473,Deschamps (François-Michel-Chrétien),Antiochus et Cléopâtre,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5474,"Nadal (Augustin, abbé)",Antiochus ou Les Macchabées,tragédie,5,FALSE,vers,FALSE,16 DEC 1722,,
1,,5474,Nadal (abbé Augustin),Antiochus ou Les Macchabées,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,4862,Portelance (Michel),Antipater,tragédie,5,FALSE,vers,FALSE,25 NOV 1751,,
,1,4873,Boistel d'Welles (Jean-Baptiste-Robert ou Robert),Antoine et Cléopâtre ,tragédie,5,FALSE,vers,FALSE,06 NOV 1741,,
,1,4863,Voiron,Apelle et Campaspe,drame héroïque ,1,FALSE,vers,TRUE,16 OCT 1786,,
,1,4864,Baragué,Aphos,comédie,1,FALSE,vers libres,TRUE,13 SEP 1747,,
,1,5055,Lesur (Charles-Louis),Apothéose de Beaurepaire (L'),pièce ,1,FALSE,vers,FALSE,,,
,1,5544,Poisson (Raymond),Après-souper des auberges (L'),comédie,1,FALSE,vers,TRUE,,,
1,,5475,Corneille (Pierre),Argésilas,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,4865,Corneille (Thomas),Ariane,tragédie,5,FALSE,vers,FALSE,,,
,1,5476,Saint-Gilles Lenfant (de),Ariarathe,tragédie,5,FALSE,vers,FALSE,30 OCT 1699,,
1,,5476,Saint-Gilles (Lenfant de),Ariarathe,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5477,"Abeille (Gaspard, abbé)",Aristobule,tragédie,5,FALSE,vers,FALSE,30 NOV 1685,,
1,,5477,"Abeille (Gaspard, abbé) ",Aristobule,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,4866,Marmontel (Jean-François) ,Aristomène,tragédie,5,FALSE,vers,FALSE,30 AVRIL 1749,,
1,,4866,Marmontel (Jean-François),Aristomène,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,5478,Campistron (Jean Galbert de),Arminius,tragédie,5,FALSE,vers,FALSE,19 FEV 1684,,
1,,5478,Campistron (Jean-Galbert de),Arminius,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
