id,title,author,genre ,Prologue,nombre d'actes,Prose/vers,"Musique, danse, machines",Date de création
5760 et 5247,Carosses d'Orléans (Les),La Chapelle (Jean de) ,comédie,,1,prose,,
5494,Cartouche ou les Voleurs,Legrand (Marc-Antoine),comédie,,3 actes,prose,X,9 AOUT 1680
5584,Cassette (La),"Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)",comédie,,5 actes,vers,X,
5495,Cassius et Victorinus martyrs,La Grange-Chancel (François-Joseph de),tragédie,,5 actes,vers,,
4890,Catilina,Crébillon (Prosper Jolyot de),tragédie,,5,vers,,
5696,Caton d'Utique,Deschamps (François-Michel-Chrétien),tragédie,,5 actes,vers,,20 DEC 1748
4965,Cavalcade (La),Dancourt (Florent Carton dit),divertissement,,,,x,
5077,Célibataire (Le),Dorat (Claude-Joseph),comédie,,5,vers libres,,
4891,Cénie,Graffigny (Françoise de),drame ,,5,prose,,
5078,Centenaire de Molière (Le),Artaud (Jean-Baptiste),comédie,,1,vers et prose,x,25 JUIN 1750
5497,Céphale et Procris,Dancourt (Florent Carton dit),comédie,X,3 actes,vers,X,
4892,Céramis,Le Mierre (Antoine-Marin) ,tragédie,,5,vers,,
5079,Cercle ou la Soirée à la mode (Le),Poinsinet (Antoine-Alexandre-Henri) ,comédie épisodique,,1,prose,,29 DEC 1785
5080,Charivari (Le),Dancourt (Florent Carton dit) ,comédie,,1,prose,X,
4893,Charles IX ou l'École des rois,Chénier (Marie-Joseph de),tragédie ,,5,vers,,
5761,"Charmes de Félicie, tirés de la Diane de Montemayor (Les)",Montauban (Jacques Pousset de),pastorale,,5 actes,vers,X,4 NOV 1789
5585,Chasse du cerf (La),Legrand (Marc-Antoine),comédie-ballet,X,3 actes,prose,X,
5586,Chasse ridicule (La),Anonyme,comédie,,1 acte,prose,,
5248,Châteaux en Espagne (Les),Collin d'Harleville (Jean-François),comédie,,5,vers,,
5249,Chérusques (Les),Bauvin (Jean-Grégoire),tragédie,,5,vers,,20 FEVRIER 1789
5670 et 5081,Chevalier à la mode (Le),Dancourt (Florent Carton dit) ,comédie,,5,prose,,26 SEPTEMBRE 1772
5671,Chevalier Bayard (Le),Autreau (Jacques),comédie héroïque,,5 actes,vers,,
5082,Chevalier français à Londres (Le),Dorat (Claude-Joseph),comédie,,3,vers,,
5083,Chevalier français à Turin (Le),Dorat (Claude-Joseph),comédie,,3,vers,,
5672,Chevalier joueur (Le),Du Fresny (Charles),comédie,,5 actes,prose,,
5084,Chevalier sans peur et sans reproche ou les Amours de Bayard (Le),Boutet de Monvel (Jacques-Marie) ,comédie héroïque,,4,prose,,
5498,Childéric,Morand (Pierre de),tragédie,,5 actes,vers,,
5085,Chirurgien de village (Le),Simon-Chauvot,comédie,,1,prose,,
5086,Cid (Le),Corneille (Pierre),tragi-comédie / tragédie,,5,vers,,
4894,Cinna ou la Clémence d'Auguste,Corneille (Pierre),tragédie,,5,vers,,
5499,"Cléarque, tyran d'Héraclée",Gomez (Madeleine-Angélique de),tragédie,,5 actes,vers,,
4895,Clémentine et Desormes,Boutet de Monvel (Jacques-Marie) ,drame,,5,prose,,
4896,Cléopâtre,Marmontel (Jean-François) ,tragédie,,5,vers,,14 DEC 1780
5500,Cléopâtre ,La Chapelle (Jean de),tragédie,,5 actes,vers,,20 MAI 1750
5087 et 5673,Cocher supposé (Le),"Hauteroche (Noël Lebreton, sieur de)",comédie,,1,prose,,
4897,Colin-Maillard,Dancourt (Florent Carton dit) ,comédie,,1,prose,X,
4966,Colonie (La),Saint-Foix (Germain-François Poullain de),comédie,x,3,prose,,28 OCT 1701
5587,Comédie des comédiens ou l'Amour charlatan (La),Dancourt (Florent Carton dit),comédie,,3 actes,prose,X,25 OCT 1749
5674,Comédien poète (Le),"Montfleury (Antoine Jacob, dit)",comédie,,5 actes,vers,X,
5588,Comète (La),Fontenelle (Bernard le Bouyier de),comédie,,1 acte,prose,X,
5088,Complaisant (Le),"Pont-de-Veyle (Antoine de Fériol, comte de)",comédie,,5,prose,X,
5092,Comte d'Essex (Le),Corneille (Thomas),tragédie,,5,vers,,
5090,Comte de Warwick (Le),La Harpe (Jean François de),tragédie,,5,vers,,
5091,Comte de Warwick (Le),Cahusac (Louis de),tragédie,,5,vers,,
4968,Comtesse d'Escarbagnas (La),Molière (Jean-Baptiste Poquelin dit) ,comédie,,1,prose,(X),
4969 et 5589,Comtesse d'Orgueil (La),Corneille (Thomas),comédie,,5,vers,,
4967,Comtesse de Chazelle (La),"Montesson (Charlotte-Jeanne Béraud de La Haie de Riou, comtesse de)",comédie,,5,vers,,
5590,Comtesse de Follenville (La),"Carcavy (Charles-Alexandre, abbé)",comédie,,1 acte,prose,,6 MAI 1785
5093,Concert (Le),Bret (Antoine),comédie,,1,prose,X,
5094,Concert ridicule (Le),Palaprat (Jean de),comédie,,1,prose,X,
5095,Conciliateur ou l'Homme aimable (Le),Demoustier (Charles-Albert),comédie,,5,vers,,
5250,Confidences réciproques (Les),Simon (Claude-François),comédie,,1,vers libres,,
5096,Consentement forcé (Le),Guyot de Merville (Michel),comédie,,1,prose,X,3 AOUT 1747
5097,Conteur ou les Deux postes (Le),Picard (Louis-Benoît),comédie,,3,prose,,
4970,Coquette corrigée (La),"La Noue (Jean-Baptiste Simon Sauvé de La Noue, dit)",comédie,,5,vers,,
4971,Coquette de village ou le lot supposé (La),Du Fresny (Charles),comédie,,3,vers,,
4972,Coquette et la fausse prude (La),Baron,comédie,,5,prose,,
5251,Coquettes rivales (Les),Lantier (Étienne François de),comédie,,5,vers,,
5501,Corésus et Callirhoé,La Fosse (Antoine de),tragédie,,5 actes,vers,,6 FEVRIER 1786
4898,Coriolan,La Harpe (Jean François de),tragédie,,5,vers,,
4899,Coriolan,Mauger,tragédie,,5,vers,,2 MARS 1784
5502,Coriolan,"Abeille (Gaspard, abbé)",tragédie,,5 actes,vers,,10 JANV 1748
5503,Coriolan,Chaligny des Plaines (François de),tragédie,,5 actes,vers,,
4900,Corneille aux Champs-Élysées,Riouffé (Honoré),comédie,,1,vers libres,,
5504,Cornélie mère des Gracques,Barbier (Marie-Anne),tragédie,,5 actes,vers,,4 OCT 1784
5505,Cornélie vestale,Hénault (Charles-Jean-François),tragédie,,5 actes,vers,,
4901,Cosroès,Lefèvre (Pierre-François-Alexandre),tragédie,,5,vers,,
4902,Cosroès,Mauger,tragédie,,5,vers,,26 AOUT 1767
5506,Cosroès,Rotrou (Jean de) ; Ussé (Louis II Bernin de Valentinay d'),tragédie,,5 actes,vers,,20 AVR 1752
4973,Coupe enchantée (La),"La Fontaine (Jean de) ; Champmeslé (Charles Chevillet, sieur de Champmeslé, dit)",comédie,,1,prose,,
5252,Coups de l'amour et de la fortune (Les),Quinault (Philippe),tragi-comédie,,5,vers,,
5762,Courses de Tempé (Les),Piron (Alexis),pastorale,,1 acte,vers,X,
5223,Courtisanes ou l'Écueil des mœurs (Les),Palissot de Montenoy (Charles),comédie,,3,vers,,
5098,Couvent ou les Fruits du caractère et de l'éducation (Le),Laujon (Pierre),comédie,,1,prose,,
4974,Créole (La),La Morlière (Jacques Rochette de),comédie,,1,prose,X,
4903,Crispin bel esprit,"La Tuillerie (Jean-François Juvenon, sieur de La Tuillerie, dit)",comédie,,1,vers,,
4904,Crispin médecin,"Hauteroche (Noël Lebreton, sieur de)",comédie,,3,vers,,11 JUIL 1681
5507,Crispin musicien ,"Hauteroche (Noël Lebreton, sieur de)",comédie,,5 actes,vers,X,
4906,Crispin précepteur,"La Tuillerie (Jean-François Juvenon, sieur de La Tuillerie, dit)",comédie,,1,vers,,
4907,Crispin rival de son maître,Lesage (Alain-René),comédie,,1,prose,,
5591,Critique de l'École des femmes (La),Molière (Jean-Baptiste Poquelin dit),comédie,,1 acte,prose,,15 MARS 1707
5592,Critique de la Fausse antipathie (La),"La Chaussée (Pierre-Claude Nivelle de La Chaussée, dit Pierre-Claude)",comédie,,1 acte,prose/vers,,
5593,Critique du Légataire universel (La),Regnard (Jean-François),comédie,,1 acte,prose,,
4908,Cromwel,Maillet-Duclairon (Antoine),tragédie,,5,vers,,
5253,Curieux de Compiègne (Les) ou Les Camps de Compiègne,Dancourt (Florent Carton dit) ,comédie,,1,prose,X,7 JUIN 1764
