id,title,author,genre ,Prologue,nombre d'actes,Prose/vers,"Musique, danse, machines",Date de création
5467,Amalasonte,Quinault (Philippe),tragédie,,5 actes,vers,,voir celui de ximenes sur l'autre liste
4850,Amalazonte,Ximénès (Augustin-Louis de),tragédie,,5,vers,,30 MAI 1754
5039,Amant Bourru (L'),Boutet de Monvel (Jacques-Marie) ,comédie,,3,vers libres,,
5537,Amant de sa femme ou la Rivale d'elle-même (L'),Boissy (Louis de),comédie,,1 acte,prose,,19 SEPT 1721
5040,Amant déguisé (L'),La Morlière (jacques Rochette de),comédie,,2,prose,,
5538,Amant indiscret ou le Maître étourdi (L'),Quinault (Philippe),comédie,,5 actes,vers,,
5539,Amant masqué (L'),Du Fresny (Charles),comédie,,1 acte,prose,X,8 AOUT 1709
5540,Amante amant (L'),Campistron (Jean Galbert de),comédie,,5 actes,prose,,2 AOUT 1684
5541,Amante en tutelle (L'),La Valette,comédie,X,3 actes,vers,,17 AOUT 1735
5751,Amants déguisés (Les),Aunillon (Pierre-Charles-Fabiot),comédie,,3 actes,prose,,7 FEV 1728
5236,Amants espagnols (Les),Beaugeard (Jean-Simon Férréol),comédie ,,5,prose,,
5237,Amants généreux (Les),Rochon de Chabannes (Marc-Antoine-Jacques),comédie,,5,prose,,13 OCTOBRE 1774
5752,Amants magnifiques (Les),Molière (Jean-Baptiste Poquelin dit),comédie-ballet,X,5 actes,prose,X,
5089,Amants malheureux ou le Comte de Comminges (Les),Arnaud (François-Thomas-Marie de Baculard d'),drame ,,3,vers,,
5753,Amants ridicules (Les) ou Les Triomphes du temps passé,Legrand (Marc-Antoine),comédie,,1 acte,vers,,1 JUIL 1711
5238,Amants sans le savoir (Les),"Saint-Chamond (Claire-Marie Mazarelli, marquise de)",comédie,,3,prose,,
4851,Amasis,La Grange-Chancel (François-Joseph de),tragédie,,5,vers,,13 DEC 1701
5041,Amateur (L'),Barthe (Nicolas-Thomas),comédie,,1,vers,,
5239,Amazones (Les),Du Bocage (Anne-Marie),tragédie,,5,vers,,JUILLET ET AOÜT 1749
5240,Amazones modernes (Les),Legrand (Marc-Antoine) ; Fuzelier (Louis),comédie,,3,prose,X,1727
5042,Ambitieux et l'indiscrète (L'),Destouches,tragi-comédie,x,5,vers,,
4852,Amélie ou le Duc de Foix ou Le Duc de Foix,Voltaire (François-Marie Arouet dit),tragédie,,5,vers,,17 AOUT 1752
4853,Amélise,Ducis (Jean-François),tragédie,,5,vers,,9 JANV 1768
4854,Aménophis,Saurin (Bernard-Joseph),tragédie,,5,vers,,12 NOV 1750
4855,Amestris,Mauger,tragédie,,5,vers,,3 JUIL 1747
5043,Ami des lois (L'),Laya (Jean-Louis),comédie,,5,vers,,
5241,Amis à l'épreuve (Les),Pieyre (Alexandre),comédie,,1,vers croisés,,19 JUILLET 1787
5542,Amitié rivale (L'),Fagan (Barthélemy-Christophe),comédie,,5 actes,vers,,16 NOV 1735
5044,Amour à Tempé (L'),Falconnet (Françoise-Cécile),pastorale,,2,prose,x,
5045,Amour diable (L'),Legrand (Marc-Antoine),comédie,,1,vers,X,
5046,Amour et les Fées (L'),"Bernis (François-Joachim de Pierres, cardinal de)",comédie,,1,vers libres,X,
5047,Amour exilé des cieux (L'),Dufrénoy (Adélaïde-Gillette Billet),pièce allégorique,,1,vers,x,
5048,Amour français (L'),Rochon de Chabannes (Marc-Antoine-Jacques),comédie,,1,vers,,
5049,Amour médecin (L') ou Les Médecins,Molière (Jean-Baptiste Poquelin dit) ,comédie-ballet,X,3,prose,(X),
4856,Amour pour amour,La Chaussée (Pierre-Claude),comédie,x,3,vers,X,16 FEV 1742
5468,Amour secret (L'),Poisson (Philippe),comédie,,1 acte,vers,,5 OCT 1740
5050,Amour usé (L'),Destouches,comédie,,5,prose,,
5543,Amour vengé (L'),La Font (Joseph de),comédie,,1 acte,vers,,14 OCT 1712
5516,Amours de Diane et d'Endymion (Les) ou Endymion ,Gilbert (Gabriel),tragédie,X,5 actes,vers,X,22 JUIL 1681
5754,Amours de Vénus et d'Adonis (Les),Donneau de Vizé (Jean),tragédie,X,5 actes,vers,X,
4857,Amphitryon,Molière (Jean-Baptiste Poquelin dit) ,comédie,X,3,vers libres,X,
