Id,Author,Title,Genre,Created At,Updated At,Acts,Prose Vers,Prologue,Musique Danse Machine
5765,Brueys (David-Augustin de),Les Empiriques,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,prose,false,false
5764,Dancourt (Florent Carton dit),Les Eaux de Bourbon,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5763,Corneille (Thomas) ; De Visé (Jean Donneau),Les Dames vengées ou la Dupe de soi-même,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,prose,false,false
5762,Piron (Alexis),Les Courses de Tempé,pastorale,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,vers,false,false
5761,Montauban (Jacques Pousset sieur de),Les Charmes de Félicie,pastorale,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,true
5760,La Chapelle (Jean de),Les Carosses d'Orléans,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,,vers,false,false
5759,Fagan (Christophe Barthélémy Fagan de Lugny dit),Les Caractères de Thalie,ambigu-comique,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,prose / vers,true,false
5758,Roy (Pierre-Charles) ; La Font (Joseph de),Les Captifs,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,vers,true,false
5757,"Saint-Glas (Pierre, abbé de)",Les Bouts-rimés,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5756,Hauteroche (Noël Lebreton de),Les Bourgeoises de qualité,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5755,Fuzelier (Louis),Les Amusements de l'automne ou les Temples d'Éphèse et de Gnide,ambigu-comique,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,prose,true,false
5754,De Visé (Jean Donneau),Les Amours de Vénus et d'Adonis,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,true,false
5753,Le Grand (Marc-Antoine),Les Amants ridicules,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,vers,false,false
5752,Molière (Jean-Baptiste Poquelin dit),Les Amants magnifiques,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,prose,false,false
