id,author,title,genre,acts,prologue,prose_vers,musique_danse_machine,date_de_creation
4862,Portelance (Michel),Antipater,tragédie,5,FALSE,vers,FALSE,11/25/1751
4873,Boistel d'Welles (Jean-Baptiste-Robert ou Robert),Antoine et Cléopâtre,tragédie,5,FALSE,vers,FALSE,11/6/1741
4863,Voiron,Apelle et Campaspe,drame héroïque,1,FALSE,vers,TRUE,10/16/1786
4864,Baragué,Aphos,comédie,1,FALSE,vers libres,TRUE,9/13/1747
5055,Lesur (Charles-Louis),Apothéose de Beaurepaire (L'),pièce,1,FALSE,vers,FALSE,
5544,Poisson (Raymond),Après-souper des auberges (L'),comédie,1,FALSE,vers,TRUE,
4865,Corneille (Thomas),Ariane,tragédie,5,FALSE,vers,FALSE,
5476,Saint-Gilles Lenfant (de),Ariarathe,tragédie,5,FALSE,vers,FALSE,10/30/1699
5477,"Abeille (Gaspard, abbé)",Aristobule,tragédie,5,FALSE,vers,FALSE,11/30/1685
4866,Marmontel (Jean-François),Aristomène,tragédie,5,FALSE,vers,FALSE,30 AVRIL 1749
5478,Campistron (Jean Galbert de),Arminius,tragédie,5,FALSE,vers,FALSE,19 FEV 1684
5479,Barbier (Marie-Anne),Arrie et Pétus,tragédie,5,FALSE,vers,FALSE,3 JUIN1702
5242,Peyraud de Beaussol,Arsacides (Les),tragédie,6,FALSE,vers,FALSE,26 JUILLET 1775
5480,Pellegrin (Simon-Joseph),Artaxare,tragédie,5,FALSE,vers,FALSE,3 MAI 1718
4867,Le Mierre (Antoine-Marin),Artaxerce,tragédie,5,FALSE,vers,FALSE,20 AOUT 1766
5481,"Boyer (Claude, abbé)",Artaxerce,tragédie,5,FALSE,vers,FALSE,11/22/1682
5482,Deschamps (François-Michel-Chrétien),Artaxerce,tragédie,5,FALSE,vers,FALSE,12/19/1735
5483,"Voltaire (François-Marie Arouet, dit)",Artémire,tragédie,5,FALSE,vers,FALSE,15 FEV 1720
5484,Fontenelle (Bernard le Bouyier de),Aspar,tragédie,5,FALSE,vers,FALSE,12/27/1680
5545,Procope-Couteaux (Michel),Assemblée des comédiens (L'),prologue,1,TRUE,,FALSE,22 SEPT 1724
4868,Colardeau (Charles-Pierre),Astarbé,tragédie,5,FALSE,vers,FALSE,27 FEV 1758
4869,Quinault (Philippe),"Astrate, roi de Tyr",tragédie,5,FALSE,vers,FALSE,
