title,author,genre,prologue,acts,prose_vers,musique_danse_machine
Les Philosophes amoureux,Destouches (Philippe Néricault dit),comédie,0,5,vers,0
Les Pipeurs ou les Femmes coquettes,Poisson (Raymond),comédie,0,5,vers,0
Les Réjouissances publiques ou le Gratis,Allainval (Léonor-Jean-Christine Soulas abbé d') ; Laffichard (Thomas l'Affichard dit),comédie,0,1,prose,0
Les Rivaux d'eux-mêmes,Anonyme,comédie,0,1,vers,0
Les Serments indiscrets,Marivaux (Pierre Carlet de Chamblain de),comédie,0,5,prose,0
Les Sœurs rivales,Anonyme,comédie,0,1,vers,0
Les Trois spectacles,Aigueberre (Jean Dumas d'),ambigu-comique,1,3,prose / vers,0
Les Tyndarides,Danchet (Antoine),tragédie,0,5,vers,0
Les Usuriers,Prechac (Jean),comédie,0,,vers,0
Les Visionnaires,Desmarets de Saint-Sorlin (Jean),comédie,0,5,vers,0
Lucas et Perrette ou Le Rival utile,Fagan (Christophe Barthélémy Fagan de Lugny dit),comédie,0,1,prose,0
Lysimachus,Caux de Montlebert (Gilles de) ; Caux de Montlebert le fils,tragédie,0,5,vers,0
Madame Artus,Dancourt (Florent Carton dit),comédie,0,5,vers,0
Mahomet second,Châteaubrun (Jean-Baptiste Vivien de),tragédie,0,5,vers,0
Mariamne,Nadal (abbé Augustin),tragédie,0,5,vers,0
"Marie Stuart, reine d'Écosse",Tronchin (Jacques),tragédie,0,5,vers,0
"Marie Stuart, reine d'Écosse ",Boursault (Edme),tragédie,0,5,vers,0
Maximien,La Chaussée (Pierre Claude Nivelle de),tragédie,0,5,vers,0
Médus,Deschamps (François-Michel-Chrétien),tragédie,0,5,vers,0
Méléagre,La Grange-Chancel (Joseph de),tragédie,0,5,vers,0
Merlin déserteur,Dancourt (Florent Carton dit),comédie,0,1,prose,0
Merlin la Chacone,Dancourt (Florent Carton dit),comédie,0,,0,0
Merlin peintre,"La Tuillerie (Jean-François Juvenon, sieur de)",comédie,0,1,prose,0
Montézume,Ferrier de la Martinière (Louis),tragédie,0,5,vers,0
Mustapha et Zéangir,Belin (François),tragédie,0,5,vers,0
