ext_id|etype|birth_death_years|mainrole|mainform|firstname|firstname1|formcompl|lastname|firstname2|computedform|url
8070|Personne|1752-1836|Comédien|SAINT-VAL cadette|Marie-Blanche|Marie-Blanche|Alziari de Roquefort, dite Mlle|SAINT-VAL cadette|Marie-Blanche|marie-blanche saint-val cadette|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008070&ref=BIB00036570&p=1
8071|Personne|1760-1813|Comédien|CONTAT aînée|Louise-Françoise|Louise-Françoise||CONTAT aînée||louise-françoise contat aînée|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008071&ref=BIB00036570&p=1
8072|Personne|1747-1809|Comédien|DAZINCOURT|Joseph Jean-Baptiste|Joseph Jean-Baptiste|Albouy, dit|DAZINCOURT|Joseph Jean-Baptiste|joseph jean-baptiste dazincourt|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008072&ref=BIB00036570&p=1
8073|Personne|1750-1822|Comédien|FLEURY|Abraham-Joseph|Abraham-Joseph|Bénard, dit|FLEURY|Abraham-Joseph|abraham-joseph fleury|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008073&ref=BIB00036570&p=1
8074|Personne|1728-1803|Comédien|BELLEMONT|Jean-Baptiste|Jean-Baptiste|Colbert de Beaulieu, dit|BELLEMONT|Jean-Baptiste|jean-baptiste bellemont|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008074&ref=BIB00036570&p=1
8076|Personne|1739-1803|Comédien|VANHOVE|Charles-Joseph|Charles-Joseph||VANHOVE||charles-joseph vanhove|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008076&ref=BIB00036570&p=1
8078|Personne|1752-1816|Comédien|FLORENCE|Nicolas-Joseph-Florence|Nicolas-Joseph-Florence|Billot de La Ferrière, dit|FLORENCE|Nicolas-Joseph-Florence|nicolas-joseph-florence florence|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008078&ref=BIB00036570&p=1
8080|Personne|1757-1849|Comédien|THENARD|Marie-Magdeleine-Claudine|Marie-Magdeleine-Claudine|Chevalier-Perrin, dite Mme|THENARD|Marie-Magdeleine-Claudine|marie-magdeleine-claudine thenard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008080&ref=BIB00036570&p=1
8081|Personne|1764-1787|Comédien|OLIVIER|Jeanne-Adélaïde|Jeanne-Adélaïde|Gérardin, dite Mlle|OLIVIER|Jeanne-Adélaïde|jeanne-adélaïde olivier|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008081&ref=BIB00036570&p=1
8082|Personne|1761-1798|Comédien|JOLY|Marie-Elisabeth|Marie-Elisabeth||JOLY||marie-elisabeth joly|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008082&ref=BIB00036570&p=1
8083|Personne|1758-1834|Comédien|SAINT-PRIX|Jean-Amable|Jean-Amable|Foucault, dit|SAINT-PRIX|Jean-Amable|jean-amable saint-prix|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008083&ref=BIB00036570&p=1
8084|Personne|1752-1835|Comédien|SAINT-FAL|Etienne|Etienne|Meynier, dit|SAINT-FAL|Etienne|etienne saint-fal|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008084&ref=BIB00036570&p=1
8085|Personne|1763-1841|Comédien|DEVIENNE|Jeanne-Françoise-Sophie|Jeanne-Françoise-Sophie|Thévenin, dite Mlle|DEVIENNE|Jeanne-Françoise-Sophie|jeanne-françoise-sophie devienne|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008085&ref=BIB00036570&p=1
8086|Personne|1771-1846|Comédien|CONTAT cadette|Marie-Emilie|Marie-Emilie||CONTAT cadette||marie-emilie contat cadette|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008086&ref=BIB00036570&p=1
8087|Personne|1766-[1817]|Comédien|LAURENT|Charlotte|Charlotte||LAURENT||charlotte laurent|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008087&ref=BIB00036570&p=1
8089|Personne|1743-1830|Comédien|NAUDET|Jean-Baptiste Julien-Marcel|Jean-Baptiste Julien-Marcel||NAUDET||jean-baptiste julien-marcel naudet|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008089&ref=BIB00036570&p=1
8091|Personne|1747-1794|Comédien|GRAMMONT DE ROSELLY|Jean-Baptiste Jacques|Jean-Baptiste Jacques|Nourry, dit|GRAMMONT DE ROSELLY|Jean-Baptiste Jacques|jean-baptiste jacques grammont de roselly|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008091&ref=BIB00036570&p=1
8092|Personne|1748-1807|Comédien|LAROCHELLE|Barthélemy|Barthélemy||LAROCHELLE||barthélemy larochelle|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008092&ref=BIB00036570&p=1
8093|Personne|1769-[1797]|Comédien|DE GARCINS|Magdeleine-Marie|Magdeleine-Marie|Des Garcins, dite Louise|DE GARCINS|Magdeleine-Marie|magdeleine-marie de garcins|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008093&ref=BIB00036570&p=1
8094|Personne|1763-1826|Comédien|TALMA|François-Joseph|François-Joseph||TALMA||françois-joseph talma|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008094&ref=BIB00036570&p=1
8095|Personne|1766-1818|Comédien|FLEURY|Marie-Anne Florence|Marie-Anne Florence|Bernardy Nones, dite Mlle|FLEURY|Marie-Anne Florence|marie-anne florence fleury|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008095&ref=BIB00036570&p=1
8097|Personne|1756-1802|Comédien|CHAMPVILLE|Gabriel-Eléonor-Etienne-Hervé|Gabriel-Eléonor-Etienne-Hervé|Du Bus de|CHAMPVILLE||gabriel-eléonor-etienne-hervé champville|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008097&ref=BIB00036570&p=1
8098|Personne|1737-1816|Comédien|GRANDMESNIL|Jean-Baptiste|Jean-Baptiste|Fauchard de|GRANDMESNIL||jean-baptiste grandmesnil|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008098&ref=BIB00036570&p=1
8099|Personne|1767-1855|Comédien|DUPONT|Jean-Denis Benoît|Jean-Denis Benoît|Boudy, dit|DUPONT|Jean-Denis Benoît|jean-denis benoît dupont|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008099&ref=BIB00036570&p=1
8100|Personne|1772-1825|Comédien|LANGE|Anne-Françoise-Elisabeth|Anne-Françoise-Elisabeth|dite Elise|LANGE||anne-françoise-elisabeth lange|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008100&ref=BIB00036570&p=1
8101|Personne|1774-1823|Comédien|MEZERAY|Marie-Antoinette-Joséphine|Marie-Antoinette-Joséphine||MEZERAY||marie-antoinette-joséphine mezeray|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008101&ref=BIB00036570&p=1
8103|Personne|1765-1826|Comédien|MICHOT|Antoine|Antoine|Michaut, dit|MICHOT|Antoine|antoine michot|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008103&ref=BIB00036570&p=1
8104|Personne|1765-1839|Comédien|BAPTISTE cadet|Paul-Eustache|Paul-Eustache|Anselme, dit|BAPTISTE cadet|Paul-Eustache|paul-eustache baptiste cadet|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008104&ref=BIB00036570&p=1
8105|Personne|1772-1834|Comédien|DAMAS|Alexandre-Martial-Auguste|Alexandre-Martial-Auguste||DAMAS||alexandre-martial-auguste damas|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008105&ref=BIB00036570&p=1
8106|Personne|1761-1835|Comédien|BAPTISTE aîné|Nicolas-Eustache|Nicolas-Eustache|Anselme,dit|BAPTISTE aîné|Nicolas-Eustache|nicolas-eustache baptiste aîné|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008106&ref=BIB00036570&p=1
8107|Personne|1749-1811|Comédien|CAUMONT|Thomas|Thomas||CAUMONT||thomas caumont|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008107&ref=BIB00036570&p=1
8109|Personne|1779-1847|Comédien|MARS|Anne-Françoise-Hippolyte|Anne-Françoise-Hippolyte|Boutet, dite Mlle|MARS|Anne-Françoise-Hippolyte|anne-françoise-hippolyte mars|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008109&ref=BIB00036570&p=1
